year,month,province_en,wind_util_pct,solar_util_pct,wind_util_ytd_pct,solar_util_ytd_pct,source_url
2024,1,Anhui,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Beijing,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Chongqing,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Fujian,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Gansu,91.9,92.9,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Guangdong,100.0,99.5,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Guangxi,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Guizhou,100.0,99.4,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Hainan,100.0,99.2,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Hebei,97.1,97.8,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Heilongjiang,99.8,99.7,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Henan,98.1,97.7,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Hubei,100.0,99.3,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Hunan,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Inner Mongolia East,96.8,99.1,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Inner Mongolia West,97.1,96.4,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Jiangsu,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Jiangxi,100.0,99.9,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Jilin,96.2,95.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Liaoning,97.3,98.7,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,National,98.3,98.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Ningxia,98.9,98.7,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Qinghai,94.5,93.1,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Shaanxi,97.6,97.7,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Shandong,98.6,99.4,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Shanghai,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Shanxi,99.7,96.3,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Sichuan,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Tianjin,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Tibet,100.0,74.1,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Xinjiang,97.4,97.9,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Yunnan,99.9,98.9,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,1,Zhejiang,100.0,100.0,,,https://wind.in-en.com/html/wind-2443691.shtml
2024,2,Anhui,99.4,98.6,99.7,99.4,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Beijing,94.9,98.6,98.0,99.2,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Chongqing,100.0,100.0,100.0,100.0,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Fujian,100.0,100.0,100.0,100.0,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Gansu,91.2,93.2,91.6,93.0,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Guangdong,99.6,99.8,99.7,99.9,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Guangxi,100.0,100.0,100.0,100.0,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Guizhou,98.9,97.4,99.1,98.0,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Hainan,100.0,97.8,100.0,98.7,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Hebei,84.0,87.4,91.3,92.6,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Heilongjiang,91.2,91.5,95.6,95.1,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Henan,89.1,95.1,93.8,96.5,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Hubei,97.1,88.3,98.4,94.4,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Hunan,93.9,99.5,96.7,99.7,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Inner Mongolia East,87.8,97.8,92.5,98.4,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Inner Mongolia West,90.3,88.6,94.1,92.5,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Jiangsu,99.5,98.6,99.7,99.3,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Jiangxi,97.9,87.5,98.8,94.4,https://wind.in-en.com/html/wind-2446300.shtml
2024,2,Jilin,82.9,94.7,90.3,94.8,https://wind.in-en.com/html/wind-2446300.shtml
